title,bleu_short,bleu_marketing,bleu_technical,rouge_short,rouge_marketing,rouge_technical,cosine_short,cosine_marketing,cosine_technical,bleu_short_norm,rouge_short_norm,cosine_short_norm,bleu_marketing_norm,rouge_marketing_norm,cosine_marketing_norm,bleu_technical_norm,rouge_technical_norm,cosine_technical_norm,score_short,score_marketing,score_technical
"Nikon DSLR Bag with Online Class Camera Case, Black (9793)",0.015505417927737613,0.015172436817388738,0.021984918809595473,0.1739130434782609,0.18045112781954886,0.15094339622641512,0.68011814,0.7462108,0.7243075,0.034821321009601516,0.2512077294685991,0.75094587,0.06864108239756904,0.35421888053467,0.8156594,0.08505152527561853,0.23973362930077693,0.78623176,0.4469801956735205,0.513544692633542,0.47431216674926246
BosStrap One Piece (OP) Sling Strap (Black),0.0009038666430692302,0.004580829029790049,0.002267336277752471,0.1176470588235294,0.11494252873563218,0.11063829787234043,0.3846764,0.34301123,0.3206367,0.0020298601866049096,0.1699346405228758,0.4353791,0.020723965877559716,0.22562792677735205,0.358761,0.008771486053950063,0.17571964956195243,0.3490911,0.26068066913984883,0.2409684794408123,0.2206683402108146
"I3ePro BP-CMIC1 X-Series Mini Shotgun Condenser Microphone for Panasonic Lumix DMC-LX100K 4K, Point Shoot Camera (Grey)",0.0018296213659029375,0.005706734285169303,0.0038767530419079993,0.13559322033898305,0.12546125461254612,0.13385826771653545,0.5853879,0.5305078,0.56070954,0.0041088755688527025,0.19585687382297554,0.64976275,0.025817633845105374,0.24627579609129424,0.5712287,0.014997724676029231,0.2125984251968504,0.6090693,0.3748728121839251,0.3536376989815212,0.3614336813566934
Targus Truss Case/Stand for 10.1-Inch Acer Iconia THZ080US (Black/Gray),0.012468828506513995,0.06080931171428958,0.02887834651866919,0.1891891891891892,0.2191780821917808,0.21176470588235297,0.75644743,0.81249017,0.7904697,0.028001894696581403,0.2732732732732733,0.8324746,0.27510524684711674,0.4302384576357179,0.89076596,0.11171964927969896,0.3363321799307959,0.85787976,0.49155608666638334,0.6217189086131556,0.540952836243206
"JETBeam i4 PRO Intelligent Charger enhanced V3 - 3rd Generation (Black) For 18650 RCR123 AA 18500 14500 18350 16340 18700 with Ac and 12V DC (Car) power cords, 2 X EdisonBright AA to D type battery spacer/converters",0.0034605623850647036,0.01846570306838897,0.005702549920260655,0.11721611721611722,0.12650602409638553,0.1267605633802817,0.64881957,0.6484512,0.6433178,0.007771564381281568,0.1693121693121693,0.7175153,0.08354003124888121,0.24832663989290493,0.70488,0.02206105798611543,0.2013256006628003,0.698527,0.40302857831510164,0.43540666736582984,0.40511015390859734
T-Power ( 6.6 ft Long Cable ) for GOODKNIGHT 420 SERIES GoodKnight Good Knight 420G 420E 420S 420SP CPAP MACHINES Replacement Ac Dc adapter Switching Power Supply Cord Charger,0.008437111992002994,0.01191059268014102,0.0064607976858558226,0.13559322033898305,0.14457831325301204,0.10666666666666666,0.65312064,0.6234559,0.58120906,0.01894765987196849,0.19585687382297554,0.7221093,0.05388428921479921,0.2838018741633199,0.67655575,0.024994438343770038,0.16941176470588235,0.63126856,0.4147557923135065,0.4226994172216355,0.36423583120560465
SuperWhole 4 Way HDMI Switch 4X1 Toslink Coaxial Audio Output IR Remote 1080P for PS3 PC TV,0.0017599968057532658,0.017404350931029194,0.010392233064795644,0.13541666666666666,0.13559322033898305,0.15023474178403756,0.61635387,0.5205103,0.6268083,0.003952516084031143,0.19560185185185183,0.6828381,0.07873840574928748,0.26616446955430006,0.55989975,0.040203708771251484,0.23860811930405965,0.68064857,0.3913076331407395,0.3661755925117337,0.410027239665007
Replacement Earpads Ear Pad Cushion Cover for Monster Beats by Dr.Dre Studio 1.0 Headphones Black,0.10180772252352548,0.07404080578874812,0.12237355828108318,0.4210526315789474,0.24242424242424243,0.3235294117647059,0.74256957,0.7104336,0.7194124,0.22863488128922557,0.608187134502924,0.8176514,0.33496537913430235,0.47586980920314254,0.77511734,0.473418067874249,0.513840830449827,0.7809308,0.6180311994627163,0.5902674659362137,0.6372801331446329
** Genuine**ACTIVE PFC 250W FLEX ATX Power Supply! Support/Replace/Upgrade for HP Pavilion s721n/s7220n/s7310n/s7320n ...etc Slimline Home PC Power Supply!,7.556620895067985e-05,0.0021334857678429586,0.0005657337422971963,0.07738095238095238,0.06914893617021277,0.09550561797752809,0.7359961,0.73151207,0.6189482,0.0001697029536135941,0.11177248677248677,0.81063014,0.009652027169209418,0.13573680063041765,0.79900306,0.0021886147544588363,0.15168539325842695,0.6721368,0.4333006187759007,0.43584873926611467,0.3745368938031482
"LG SH7B 360W 4.1ch Music Flow Wi-Fi Sound Bar with Wireless Subwoofer Bundle includes Sound Bar with Wireless Subwoofer, Screen Cleaning Kit, 2 Toslink Cables and 2 HDMI Cables",0.0003193266857468075,0.00946346076730194,0.0007725201127943497,0.12881355932203392,0.15160349854227406,0.09933774834437087,0.68518174,0.7656715,0.7666187,0.0007171284955454375,0.1860640301318268,0.7563544,0.04281330666344019,0.29759205269409356,0.83771193,0.0029885947939264313,0.15777171795870668,0.8320512,0.42487248544427286,0.5039573049768651,0.45621568696615816
"Impact Double End Spigot with 1/4""-20 and 3/8"" Male Threads",0.24874987153684608,0.10233521422395145,0.07985924690599959,0.35135135135135137,0.23333333333333336,0.2988505747126437,0.77210313,0.69519377,0.77210593,0.5586304844054916,0.5075075075075075,0.84919673,0.4629711071637911,0.45802469135802476,0.75784785,0.30894591040076996,0.4746450304259635,0.8379934,0.6911328640003598,0.6091728724076299,0.6148944269104797
"DROK Computer Speakers Headphones Audio Switch Converter Volume Control, Speaker Switching Device for Switching Back and Forth between Computer Audio and Headphones",0.00025765090074235137,0.004210440941317227,0.0020552063214247423,0.0896551724137931,0.1393939393939394,0.11650485436893204,0.44832683,0.4389379,0.45436344,0.0005786199872183295,0.12950191570881225,0.5033653,0.01904830628471149,0.27362514029180696,0.46746337,0.007950833655886664,0.18503712164477443,0.49390563,0.28420277304601693,0.3069000487130688,0.29519980566915177
UCLA Bruins 9''-11'' Black iFanatic Mini Sleevz iPad/Mini PC/Standard NetBook Case,0.0011431746680688134,0.014677510211165276,0.006209515884141234,0.08771929824561403,0.1302681992337165,0.1214574898785425,0.57914627,0.5632622,0.60353506,0.0025672866266737903,0.1267056530214425,0.64309597,0.06640200252085476,0.2557116503476657,0.60834545,0.024022321926378338,0.1929030721600381,0.65544564,0.35386621998893336,0.38470113770252745,0.38195416618098216
PhotoTrust 5 in1 Pocket Reflector - Super Portable and Tiny Reflector+ PhotoTrust Microfiber Cleaning Cloth,0.015877736022404797,0.0137621006894293,0.017180063464239864,0.16129032258064516,0.10650887573964499,0.19999999999999998,0.5458316,0.5217581,0.53989494,0.03565745505980966,0.23297491039426524,0.607512,0.06226063082392437,0.20907297830374758,0.5613137,0.06646331581300997,0.3176470588235294,0.5865289,0.3709140899749689,0.3484902466594357,0.38929204230186554
"YiaMia®,New Magnetic Flip Leather Case Stand Cover For Amazon Kindle Fire HDX7 2015 Fashion Tablet Smart Covers 7 inch (Dandelion dream)",0.014820527120077016,0.025280382066316543,0.028221488279332223,0.1801801801801802,0.136986301369863,0.16176470588235295,0.6276053,0.52092135,0.6943455,0.03328322621065954,0.2602602602602603,0.694856,0.1143700784087174,0.2688990360223237,0.5603655,0.10917850752569426,0.2569204152249135,0.7537855,0.4208138656305626,0.3760000276407345,0.46841747618249446
"Toyota Lexus JBL 8"" Single Speaker Foam Surround Repair Kit - Sienna, Avalon, Mark Levinson - 8 Inch - Fits 86160-AC180, 86160-0W260, 86160-0W520, 86160-0W450 More",0.09310084703269694,0.052392583138286666,0.09084153138042166,0.26666666666666666,0.15748031496062992,0.2558139534883721,0.5993538,0.55576575,0.6170262,0.2090813995404747,0.3851851851851852,0.66468,0.23702742410467734,0.3091280256634587,0.59985054,0.35143230999359737,0.4062927496580027,0.6700554,0.4809066482413515,0.4364641301384146,0.5244589596150484
oCOSMO CE4031 40-Inch 1080p 60Hz LED TV,0.0030419249480292394,0.013195275631390505,0.004131553994815421,0.11199999999999999,0.13664596273291924,0.12403100775193798,0.6841635,0.7462849,0.7259048,0.00683140858221916,0.16177777777777777,0.7552668,0.05969627771557879,0.2682309638831378,0.8157434,0.015983455388712084,0.19699042407660738,0.78796154,0.4197856894008208,0.48985350377240555,0.44722424116950676
Rainbowimaging Essential Accessory Kit: Metal Lens Hood + Adapter (replaces LH-X10) + Lens Cap + 52mm Pro1-D Super Slim Multi-Coated MCUV for Fujifilm X10 & X20,0.033315186779794746,0.01581378383851857,0.03672572730172295,0.2469135802469136,0.08275862068965517,0.2469135802469136,0.55802214,0.41190624,0.6058856,0.07481764237252855,0.35665294924554186,0.6205329,0.07154257767170687,0.16245210727969348,0.4368316,0.142078265147136,0.39215686274509803,0.6579911,0.4181340830508494,0.27691446799459446,0.46255433761232545
chinatera M.2 (NGFF) SSD to 18 Pin SSD Adapter for 2010-2011 MacBook Air,0.0070438331026698164,0.013541907551870723,0.010746427659803968,0.17777777777777778,0.10628019323671496,0.18848167539267016,0.7192241,0.65891993,0.7379319,0.015818701227481916,0.25679012345679014,0.79271567,0.06126446287276076,0.20862408302021826,0.716743,0.04157395674945597,0.2993532491530644,0.8009859,0.46451004051020983,0.42584363267380626,0.48572473784838704
Extron MVGA-A M-M 12',0.11318741602028208,0.05095028835822633,0.08298791202930149,0.2978723404255319,0.15555555555555553,0.2413793103448276,0.5918492,0.5629765,0.6620829,0.254190849021806,0.4302600472813239,0.6566642,0.23050238952840918,0.3053497942386831,0.6080216,0.3210495594120784,0.38336713995943206,0.71884793,0.4994448204140546,0.43797385440963804,0.5355281400585605
PAC SNI15 Line Output Converter for Adding Amplifier,0.028381757984943398,0.008658904588943056,0.03399937463337475,0.163265306122449,0.09160305343511449,0.16949152542372883,0.5958574,0.5234395,0.6249792,0.06373838552539654,0.235827664399093,0.6609454,0.039173442639164745,0.17981340118744696,0.5632191,0.1315310143298593,0.2691924227318046,0.6786678,0.40536422022953544,0.3363562461739381,0.4395147511340073
"NavePoint CAT6 UTP Ethernet Network RJ45 Snagless Patch Cable 25 Ft, Black",0.014047754991420146,0.018427315307669567,0.018484232949504815,0.15384615384615385,0.17094017094017094,0.19469026548672566,0.724964,0.6395836,0.7299933,0.03154777177243401,0.22222222222222224,0.79884654,0.08336636254435387,0.33554922443811336,0.69483143,0.07150866553207694,0.3092139510671525,0.792389,0.46286576991628187,0.4521446122016257,0.49137514195994225
"ZOSI 2MP 1080p Wireless Wifi IP Security Camera,Pan/Tilt/Zoom ,Two-Way Audio,Motion Detection,Unique IR Remote Control for Appliances, Night Vision Surveillance Baby/Nanny/Pet Monitor",0.0004593318730598896,0.0040136351342943835,0.0012577505756465228,0.10084033613445377,0.10705596107055962,0.09729729729729729,0.44645637,0.53112364,0.46451056,0.001031545404084036,0.1456582633053221,0.50136745,0.018157944124778634,0.21014688654591332,0.5719266,0.004865772114124643,0.1545310015898251,0.5048941,0.28735617705757005,0.34303950455793175,0.2922962323149187
"Professional PRO 72"" Super Strong Tripod With Deluxe Soft Carrying Case For The Creative Labs Vado, HD 720p Pocket Video Camcorders",0.027636974546587346,0.02696019630307022,0.036632736336363936,0.14876033057851243,0.11538461538461538,0.1764705882352941,0.6034882,0.6226257,0.6106894,0.062065786740217274,0.2148760330578513,0.66909605,0.12196966632102106,0.22649572649572647,0.675615,0.14171851747150735,0.2802768166089965,0.66319317,0.40378348127283564,0.4249238545270476,0.4370954166481014
