title,description,brand,category,price
"Nikon DSLR Bag with Online Class Camera Case, Black (9793)","Protect your valuable photography equipment with this sturdy carrying case from Nikon. Constructed from durable, ballistic nylon, this compact system case is ideal for storing your digital SLR camera, plus lenses and accessories. Bundled with the carrying case is the Nikon School - Better Pictures in 5 Minutes DVD. It guides users through simple home set-ups and basic photography techniques.",Nikon,Camera Cases,$44.95
BosStrap One Piece (OP) Sling Strap (Black),"A BosTail replaces the tripod fitting supplied with many two-piece sling straps. One end of the BosTail attaches to the camera body strap lug, the otherend provides an attachment ring for a strap connector. BosTails can remain on the camera. The tripod socket will always available. Eliminate the hassle of removing the fitting from the camera tripod when moving to a tripod. Attach to your existing strap's carabineer to a BosTail. The BosTail comes with a slip lock and a nickel plated, metal ring which is permanently attached to the BosTail. The BosTail can be adjusted from about 2"" to 4"" to accommodate different camera body heights and carrying configurations. A BosTail attaches to the left side triangular split ring, or left strap lug depending on the camera body. BosTails do not interfere with the camera's controls whether shooting horizontally or vertically. A BosTail never needs to be removed from the camera body. Helps reduce the stress and possible damage to your camera body tripod socket and internal seals when hanging the camera upside down from a tripod socket fitting.",BosStrap,Bag & Case Accessories,$39.95
"I3ePro BP-CMIC1 X-Series Mini Shotgun Condenser Microphone for Panasonic Lumix DMC-LX100K 4K, Point Shoot Camera (Grey)","The BP-CMIC1 Stereo Microphone is ideal for video cameras, professional camcorders, & Digital SLR Cameras. The MS Stereo System enhances sound quality while suppressing unwanted noise. The sleek design also allows for both long distance sound pickup, as well as focused sound direction. This microphone is great for both professional and home audio/video production. The light weight build, & unique compact design allows for convenient use, and easy transportation. The Microphone incorporates a standard hot-shoe adapter on the underside of the Condenser Mic, with a 1/4"" Tripod Screw. By sliding the Mic into your hot-shoe mount on your camera or camcorder, allows you for optimal use of the mic. Due to many hot-shoe size variation a Twist-Lock was incorporated. This can be used by twisting the lock above the mount till fastened securely in your hot-shoe mount. Added pressure when inserting the mic may cause damage to the mic and/or the camera itself. Once the mic has been secured, use the attached cord to plug into your Audio-In/Line-In of your camera.This mic will enhance your Audio for all your videos.",PIXI-GEAR,Microphones,$34.99
Targus Truss Case/Stand for 10.1-Inch Acer Iconia THZ080US (Black/Gray),"The Targus Truss Case/Stand for Acer Iconia is constructed of durable nylon to provide a tough protective exterior. The case easily transforms into a stand for hands-free viewing which is ideal for movie-watching. The cover folds back for convenient in-hand use. To use the tablet in the case, Truss opens like a book, so youll never have to remove your device. The soft interior lining protects against scratches while the secure wrap-around band holds the case closed when not in use. For added feature, this durable case includes a pen/stylus loop. The Truss case uniquely combines both style and function into a durable tablet case.",Targus,Cases,
"JETBeam i4 PRO Intelligent Charger enhanced V3 - 3rd Generation (Black) For 18650 RCR123 AA 18500 14500 18350 16340 18700 with Ac and 12V DC (Car) power cords, 2 X EdisonBright AA to D type battery spacer/converters","The popular i4 charger has been enhanced for better performance and durability. It now has a stainless steel spring guide that provides smoother battery insertion experience. The Intellicharge i4 Pro is a universal, automatic smart-charger compatible with almost all types of rechargeable batteries thus eliminating the need to own several chargers. The i4 Pro is able to automatically identify Li-ion, Ni-MH and Ni-Cd rechargeable batteries and apply an appropriate charging mode (Constant Charge Current (CC), Constant Charge Voltage (CV) and Trickle Charge). Each of the i4s four microcomputer-controlled charging slots is capable of monitoring and charging batteries independently. Additionally, yellow and blue power/charging status indicator lights could visibly indicate battery status and charging process. i4: The all-new highly advanced smart charger. Its as simple as insert, detect, and charge Input voltage: AC 100~240V 50/60HZ or DC 12V ( 12V power cord included) Input power: 10W Output voltage: 4.2V 1% / 1.48V 1% Output current: 375mA 4 / 750mA 2 Dimensions: 139mm 96mm 36mm Weight: 156g (without batteries and power cord) Compatible with: Li-ion: 26650, 22650, 18650, 17670, 18490, 17500, 17335, 16340(RCR123), 14500, 10440 Ni-MH / Ni-Cd: AA, AAA, C 2X EdisonBright AA to D battery converter spacers included. These allow use of rechargeable AA batteries in D battery equipment. *Batteries not included.",JETBeam,Chargers & Adapters,
T-Power ( 6.6 ft Long Cable ) for GOODKNIGHT 420 SERIES GoodKnight Good Knight 420G 420E 420S 420SP CPAP MACHINES Replacement Ac Dc adapter Switching Power Supply Cord Charger,T-Power Made with the highest quality Extra Long 6.6ft cable cord,T POWER,AC Adapters,
SuperWhole 4 Way HDMI Switch 4X1 Toslink Coaxial Audio Output IR Remote 1080P for PS3 PC TV,"To All the buyers: This item is a high valued product so please ignore the above Estimated Delivery Date we would ship the item through USPS about 2 weeks shipping period service.We also built a customer service team specially for this product.Buy With Confidence and Get the Most Wonderfull Shipping/Customer Service.If you met any problem with this item please do not hesitate to write to us to get the fastest customer service. The 4X1 HDMI switch supports four HDMI ports by remote control or manual button to be switched to one display terminal.The HDMI switch can support all HD formats including 720p,1080i,1080p and multichannel audio.This product comes with two digital audio outputs(optical fiber and coaxial) and one 3.5mm audio output all the way,so it is more suitable for home theater systems. Package Included: 1 x HDMI Splitter (16.5*6*2.7cm) 1 x IR Remote Control 1 x User Manual",SuperWhole,Selector Switch Boxes,
Replacement Earpads Ear Pad Cushion Cover for Monster Beats by Dr.Dre Studio 1.0 Headphones Black,"Compatible Headphones Models: For Monster Beats By Dr.Dre Studio 1.0 Headphones Package Includes: Earpad * 2pcs (Headphone Earpad only, Headphone is not included)",Sqrmekoko,Earpads,$2.04
** Genuine**ACTIVE PFC 250W FLEX ATX Power Supply! Support/Replace/Upgrade for HP Pavilion s721n/s7220n/s7310n/s7320n ...etc Slimline Home PC Power Supply!,"Brand New! Model# BPP-MFX9250HP Type: ACTIVE PFC The preferable type of PFC is Active Power Factor Correction (Active PFC) since it provides more efficient power frequency. Because Active PFC uses a circuit to correct power factor, Active PFC is able to generate a theoretical power factor of over 95%. Active Power Factor Correction also markedly diminishes total harmonics, automatically corrects for AC input voltage, and is capable of a full range of input voltage. Since Active PFC is the more complex method of Power Factor Correction, it is more expensive to produce an Active PFC power supply. Form Factor: FLEX ATX FLEX ATX Power Supply is designed for 1UITX Rackmount /Mini-ITX chassis, and/or as a replacement Power Unit for IBM SurePOS, Shuttle XPC, and HP Pavillion systems. Wattage: 250 Watts Maximum Output: 300 Watts Frequency: 60 / 50 Hz Input Voltage: 88/264 Volts AC Mix Output Voltage: +5V 13A, -5V 0.5A, +12V1 7A, +12V2 7A, -12V 0.8A, +3.3V 13A, +5V-SB 2.5A Dimensions: ( W x H x L ) 3.2"" x 1.6"" x 5.9"" Weight: 1.50 Lbs Fans: 1 x internal 40mm SILENT auto speed control fan for maximum heat dissipation. Connector included: ATX Connector 24 (20+4) Pin X 1, P4-12V 4-Pin X 1, SATA 15-Pin X 2, Molex 4-Pin X 2, Floppy 4-Pin X 1, 1 x HP Mini 24Pin Temperature Range: Operating: 0C ~ +50C on Full Load. Storage & Shipping: -20C ~ +80C Humidity: 5 ~ 90% on Operating, 5 ~ 95% on Storage Dielectric Withstand: Primary Frame Ground 1800V AC for 1 Second MTBF: >100,000 Hours on Maximum Load at +25C Rise time: Less than 20ms Hold-up Time: 17ms Minimum at Nominal Input Voltage Warranty: 1 Year Limited Parts and Labor from the invoice date.",BackPlanePro,Internal Power Supplies,
"LG SH7B 360W 4.1ch Music Flow Wi-Fi Sound Bar with Wireless Subwoofer Bundle includes Sound Bar with Wireless Subwoofer, Screen Cleaning Kit, 2 Toslink Cables and 2 HDMI Cables","Bundle Includes LG SH7B 360W 4.1ch Sound Bar with Wireless Subwoofer Performance TV/LCD Screen Cleaning Kit Fiber Optic Toslink Cable 6 ft (Qty 2) HDMI to HDMI Cable 6 ft&nbsp;(Qty 2) Google Cast An easy way to cast your favorite music, radio stations and podcasts from your mobile device to your speakers. Home Cinema Mode With one touch of a button, it's simple to add an LG Music Flow sound bar to your network and synchronize it with your LG Music flow speakers to enjoy a true home theater experience. Adaptive Sound Control Adaptive Sound Control identifies what's playing and automatically adjusts the sound mode to create the ideal audio experience. TV Remote Compatibility Select LG Sound Bars work with the remotes from eight leading TV brands for more convenience and less clutter. HDMI Connectivity Pass-through the video and audio using the HDMI input to the TV in high definition. Smart Hi-Fi Connect your LG Music Flow speaker to your network via Wi-Fi to access music from compatible mobile devices, NAS drives, PCs and internet streaming services. Sound Sync Wireless Simply link your LG audio product with your compatible LG HDTV wirelessly via Bluetooth. PRODUCT HIGHLIGHTS Smart Hi-Fi: Yes Home Cinema Mode: Yes Group Play Mode: Yes Multi-Room Mode: Yes Auto Music Play: Yes Google Cast Built-in: Yes Spotify Connect: Yes Adaptive Sound Control (ASC): Yes GENERAL Channels: 4.1ch Total Power: 360W CONVENIENCE TV Remote Compatibility: Yes Smart Remote App: Yes Music Flow OS...",LG,Sound Bars,
